calories;proteins;fat;carbohydrate;name
123;8.4;0.6;1.8;Kacang Gude muda
147;9;0.5;27.5;Kacang gude rebus
323;22.9;1.5;56.8;Kacang hijau kering
109;8.7;0.5;18.3;kacang hijau rebus
350;17.1;1.8;70.7;Kacang hijau var. bakti kering
339;20.8;2.1;64.6;Kacang hijau var. siwalik kering
346;16.6;1.7;66.1;Kacang hitam kering
345;22.2;1.2;62.9;Kacang Ijo
445;11;11;65.5;Kacang Kapri Goreng 
98;6.7;0.4;17.7;Kacang Kapri muda
286;30.2;15.6;30.1;Kacang Kedelai basah
521;32.2;37.7;22.9;Kacang kedelai goreng
381;40.4;16.7;24.9;Kacang kedelai kering
75;4.1;2.1;10.7;Kacang Kedelai kukus
189;20.2;8.2;12.7;Kacang kedelai rebus
286;30.2;15.6;30.1;Kacang kedelai segar
327;16.4;4.3;55.8;Kacang komak segar
355;17;2.5;66;Kacang kuning kering
346;16.5;1.5;66.6;Kacang lebui /iris kering
22;1.1;1;3.4;Kacang mekah polong segar
344;16.7;2.1;64.6;Kacang mentega kering
336;23.1;1.7;59.5;Kacang Merah
350;13.9;3;66.9;Kacang merah /banda kering
314;22.1;1.1;56.2;Kacang merah kering
158;10.3;0.9;28.2;Kacang Merah kering rebus
171;11;2.2;28;Kacang merah segar
144;10;1;24.7;Kacang Merah segar rebus
280;16.7;1.6;63.2;Kacang merah tua kering
629;20.4;56.3;19.8;Kacang mete/biji jambu monyet goreng
616;16.3;48.4;28.7;Kacang mete/biji jambu monyet segar
480;18.4;19.1;58.5;Kacang negara
44;2.7;0.3;7.8;Kacang Panjang
357;17.3;1.5;70;Kacang Panjang biji
39;3;0.6;7.6;Kacang Panjang kukus
150;2.5;12.5;7;Kacang Panjang tumis
37;3.1;0.2;7.9;Kacang ranti polong
484;8.8;26.1;57.7;Kacang sukro
488;25.6;25.6;59.6;Kacang Sukro Putih 
535;27.8;38.1;28.8;Kacang Tanah atom
564;25.5;44.4;25.5;Kacang tanah goreng
561;25.5;43.8;26;Kacang Tanah kacang sari
525;27.9;42.7;17.4;Kacang tanah kering
385;14;31;13;Kacang Tanah Rebus 
360;13.5;31.2;12.8;Kacang Tanah rebus berkulit
513;17.5;32.5;44.3;Kacang Tanah rempeyek
569;28.8;48.4;15.8;Kacang Tanah sangan berselaput
559;26.9;44.2;23.6;Kacang tanah sangan tanpa selaput
561;25.5;43.8;26;Kacang tanah sari
748;20.8;20.8;124.8;Kacang Telur 
331;24.4;1.9;56.6;Kacang tolo / tunggak kering
138;10.7;1.1;22.6;Kacang tolo rebus
342;22.9;1.4;61.6;Kacang Tunggak (tolo)
138;10.7;1.1;22.6;Kacang Tunggak rebus
451;11.2;20.2;59.7;Kacang Tunggak rempeyek
351;12.2;1.2;72.9;Kacang tunis kering
358;23.4;2.4;60.6;Kacang uci kering
354;12.8;1.8;69.3;Kacang urei kering
110;4.5;6.9;7.1;Kadada katembe
413;28.7;19.8;29.8;Kaholeo masakan
92;20;0.7;0;Kakap
66;2.8;6.8;3.4;Kalakai
163;16.5;9;4.1;Kalio jeroan masakan
122;13.8;5.7;3.9;Kalio kikil (tunjang) masakan
157;8.1;8.8;11.4;Kalio otak masakan
193;10.6;12.4;9.7;Kalio telur masakan
149;16.6;9.2;0;Kambing daging segar
164;3;2.4;32.6;Kambose
29;3;0.3;5.4;Kangkung
30;3.2;0.7;4.7;Kangkung kukus
22;2.5;0.6;3.1;Kangkung rebus
43;1.8;0.2;8.4;Kangkung tondano
52;1.8;3.6;3;Kangkung tumis
38;2.4;2;2.6;Kaparende sayur
42;3.3;0.2;9.6;Kapri Muda
41;2;0.3;7.8;Kapurung
158;4.4;3.2;27.8;Kapusa
25;2.3;0.2;3.5;Karawila
146.7;5.9;5.9;19.7;Karedok 
92;2.2;3.3;14.1;Karedok sayur
292;11.2;11.2;2.8;Karoket 
73;16.4;0.3;0;Katak
275;12.6;14.8;54.6;Katul Beras
356;9;8.5;64.5;Katul Jagung
120;3.5;2.5;20.8;Kawista segar
46;5.7;1.3;9;Kecap
464;1.2;18.6;73;Kecimpring singkong goreng
405;32.8;17;36.5;Kecipir biji
35;2.9;0.2;0.8;Kecipir buah muda
32;2.9;0.2;5.8;Kecipir muda segar
34;0.9;1;6.7;Kecombrang segar
47;0.5;0.2;10.4;Kedondong segar 
326;22.8;20.3;13.1;Keju
590;27;49;20.9;Keju Kacang Tanah
623;2;52.1;36.5;Kelapa hutan kering
17;0.2;0.1;3.8;Kelapa Muda air
68;1;0.9;14;Kelapa Muda daging
180;4;15;10;Kelapa Setengah Tua daging
359;3.4;34.7;14;Kelapa Tua daging
214;5.4;5.4;40.2;Kelepon 
111;1.5;0.3;27.2;Kelewih
142;16.9;7.8;0;Kelinci daging segar
48;1;0.2;11.9;Kemang
380;48.9;13.8;23.3;Kembang tahu
44;1.8;0.6;9.6;Kembang Turi
636;19;63;8;Kemiri
657;15;66;13;Kenari
616;13.9;56.2;13.7;Kenari banda kering
83;2;0.1;19.1;Kentang
142;0.9;0.4;33.7;Kentang Hitam
64;12;1;2;Keong
204;2.6;20;4;Kepala Susu (Krim)
151;13.8;3.8;14.1;Kepiting
59;18;1.1;3.6;Kerang
393;38.9;13.3;29.4;Kerang asap mentah
357;41.1;10;25.6;Kerang dendeng mentah
79;18.7;0.5;0;Kerbau daging segar
475;1.6;25.5;64.4;Keremes
137;1.3;1.1;29.8;Keribang ubi segar
586;4.9;40.6;50.2;Keripik bayam
446;2.8;14.5;76;Keripik gadung
448;2.7;18.8;67.1;Keripik kentang
485;1.7;22.2;69.7;Keripik lampung
598;8.3;43.8;42.6;Keripik oncom
478;0.9;20.7;72;Keripik singkong
481;2.2;19.7;73.6;Keripik singkong berbumbu
581;12.1;40.6;41.7;Keripik tempe
542;40.3;42.4;11.6;Keripik tempe abadi murni
510;12.3;27.9;52.4;Keripik tempe abadi sedang
529;20.8;31.7;40.2;Keripik tempe abadi telur
486;0.2;23.9;67.6;Keripik ubi
26;1.7;0.4;3.8;Kerokot segar
350;0.5;0.2;85.9;Kerupuk Aci
444;6.9;14.6;71.3;Kerupuk cumi goreng
342;16;0.4;65.6;Kerupuk Ikan berpati
325;1.8;0.4;78.5;Kerupuk kemplang  (ikan) mentah
504;5.6;28.1;57.1;Kerupuk kemplang goreng
356;9.7;1.1;76.9;Kerupuk kemplang panggang
422;83;4;0;Kerupuk Kulit kerbau
345;12;1.5;71.5;Kerupuk Melinjo mentah
431;11.1;16.2;63;Kerupuk Melinjo tebal goreng asin
439;10;16.4;65.7;Kerupuk Melinjo tebal goreng manis
485;11.5;24.5;59.1;Kerupuk Melinjo tipis goreng
476;0.1;21.1;71.3;Kerupuk mie kuning goreng
46.7;17.3;17.3;81.3;Kerupuk Sayong 
340;30;30;52;Kerupuk Udang 
359;17.2;68.2;332;Kerupuk Udang berpati
477;4.7;20.5;68.5;Kerupuk udang goreng
588;53.7;40.9;1.2;Kerupuk urat
78;0.8;0.4;20;Kesemek
181;4;1.2;37.3;Ketan hitam matang
163;3;0.4;35.7;Ketan putih matang
340;11;11;54;Ketapang 
157;0.8;0.3;37.9;Ketela Pohon Kuning
154;1;0.3;36.8;Ketela singkong segar
153;1.2;0.3;36.4;Ketela pohon/singkong kukus
12;0.7;0.1;2.7;Ketimun
9;0.5;0.1;1.9;Ketimun madura segar
153;7.9;7.7;13;Ketoprak
404;14.1;16.1;54.2;Ketumbar
212;4;4.6;38.6;Ketupat ketan
109.6;2.6;2.6;18.6;Ketupat Tahu 
310;10;24;13.5;Kluwek
73;16.4;0.3;0;Kodok segar
86;1.6;0.2;13;Kokosan
99;3.3;0.1;21.2;Komak polong segar
25;2.4;0.2;4.9;Kool Kembang
24;1.4;0.2;5.3;Kool Merah kool putih
352;17.4;1.3;69;Kopi bagian yang larut
129;12.3;0.5;35;Kopi bubuk instant
356;20.5;4.1;61.6;Koro andong kering
332;24;3;55;Koro Benguk biji
141;10.2;1.3;23.2;Koro Benguk tempe
125;8.3;0.7;22.1;Koro Kerupuk biji
33;2.7;0.2;7.9;Koro Loke biji
344;12.5;2.1;69.4;Koro Roway biji
338;22.2;1.5;61;Koro Wedus biji
38;3;0.3;7.9;Koro Wedus buah muda
46;3;0.3;7.9;Koro wedus polong
46;2.2;1.5;6;Kotiu hinela tawang nggole
366;4.2;4.3;77.5;Koya
370;8;1;82.2;Koya mirasa
315;2.1;1.4;73.5;Kranji segar
542;40.3;42.4;11.5;Kripik Tempe Goreng 
21;1.7;0.4;3.8;Krokot
45;2.2;0.3;10.3;Kucai
42;3.8;0.6;7.8;Kucai Muda (Lokio)
113;18.1;4.1;0.9;Kuda daging segar
440;3.8;18.5;64.5;Kue ali
186.7;1.6;1.6;39.6;Kue Apem 
338;1.5;1.2;80.3;Kue bangket
240;1;4;54;Kue Bugis 
425;1.6;8.8;84.6;Kue jahe
591;5.6;42.1;47.5;Kue kelapa
366;4.2;4.3;7.9;Kue Koya 
291;3.6;11.1;44.1;Kue lumpur
182;1;1;40.4;Kue mangkok 
126.7;0.7;0.7;57.3;Kue Pacar Cina 
296;1.4;1.4;66.4;Kue Pia 
304;5.3;7;54.9;Kue putu cangkir
217;1.2;0.5;53.2;Kue putu singkong
393.3;2.7;2.7;79.3;Kue Satu 
380;1;1;92;Kue Semprong 
221;7.5;10.2;24.8;Kue sus
180;5;5;32;Kue Talam 
512;26;26;60.4;Kue Tambang 
247;2.9;4.2;49.5;Kue thipan
111;4.5;1.1;20.7;Kulit melinjo
22;0.4;0.2;4.7;Kundur segar
63;2;2.7;9.1;Kunyit
83;19.1;0.2;0;Kura-kura
515;30.6;42.1;13.8;Kwaci
242;19;17;3;Kwark (Quark)
17;0.6;0.2;3.8;Labu Air
51;1.7;0.5;10;Labu kuning segar
26;0.6;0.1;6.7;Labu Siam
32;1.1;0.1;6.6;Labu waluh segar
166.3;2.7;3.9;29.5;Laksa 
85;5.7;0.3;15.4;Lamtoro (pete cina) biji muda
148;10.6;0.5;26.2;Lamtoro biji tua
142;11;2.5;20.4;Lamtoro tempe
367;46.4;5.4;32.5;Lamtoro var. gung tanpa kulit
336;23.8;1.2;59.7;Lamtoro var. lokal dengan kulit
56;0.9;0.2;14.3;Langsat
34;2.2;0.3;5.5;Lantar segar
422;0.9;10.8;80.4;Lanting getuk
389;6.6;15.7;55.5;Lapis legit
174;17;10;3;Lawar babi masakan
141;23;1.5;7.6;Lawar penyu masakan
159;5;10.9;10.1;Lawara jangang masakan
207;7.4;15.4;9.6;Lawara penjah masakan
405;4.8;5.1;84.9;Ledre pisang
15;1;0.4;1.9;Lema/ Rebung asam
902;0;100;0;Lemak Babi
630;9.1;65;1.1;Lemak Babi (Bacon)
372;12;29.4;14.4;Lemak ikan
818;1.5;90;0;Lemak Kerbau
34;0.5;0.8;6.2;Lemon segar
36;0;0;10;Lemon Squasih
30;0;0;8;Lemonade
221.3;3.8;3.6;43.4;Lemper 
320;3.5;5.7;63.7;Lempog durian
181;2.8;1.2;39.8;Lepok/Ubi rumput
33;1.9;0.1;7.4;Leunca buah
240;7.8;0.5;51.3;Leupeut Ketan 
387;16;22;3;Leverwost (sosis hati)
79;2.3;5.2;5.8;Lilin bungkus gedi
19;0.9;0.1;4.2;Lobak
217;11;1.7;5.1;Lokan segar
27;0.4;0.2;6;Lontar segar
163.3;2.8;2.2;33;Lopis 
38;1.1;0.3;7.6;Lumai/Leunca segar
164;1.8;2.1;34.5;Lupis ketan
294;0.3;0;79.5;Madu
341;0.3;0;85;Maizena tepung
363;8.7;0.4;78.7;Makaroni
63;2.4;0.4;12.4;Mangga benggala segar
44;0.7;0.2;11.2;Mangga Gedong
63;0.5;0.2;16.7;Mangga Golek
46;0.4;0.2;11.9;Mangga Harum Manis
72;0.8;0.2;18.7;Mangga Indramayu
56;0.4;0.2;14.6;Mangga Kopek
86;0.7;0.5;19.8;Mangga kwini segar
133;1;0.1;32.1;Mangga manalagi segar
59;0.5;0.4;15.1;Mangga Muda
52;0.7;0;12.3;Mangga segar
63;0.6;0.6;15.6;Manggis
720;0.6;81;0.4;Margarin
144;3.5;1.2;29.8;Markisa segar
217;2.5;1;49.6;Markisa squash
104;1.2;0.5;23.7;Markisa squash BD
265.3;4.7;5.5;49.3;Martabak  manis
153;4.5;4.2;24.3;Martabak india
278;5.1;8.6;45;Martabak mesir
200;8.9;5.1;29.5;Martabak Telur 
369;2.1;7;74.1;Masekat
90;1.2;0.1;21.1;Matoa segar
276;0;0.1;71;Melase
66;5;0.7;13.3;Melinjo
37;0.6;0.4;7.8;Melon segar
322;55.8;2;22.7;Menjangan daging dendeng mentah
725;0.5;81.6;1.4;Mentega
65;1.7;0.2;16.1;Menteng
359;11.5;6.8;64.4;Merica
88;0.6;3.3;14;Mi basah
71;0.2;0.8;15.9;Mi golosor
339;10;1.7;6.3;Mi kering
113;3;3.2;18.1;Mie aceh rebus
102;6.2;3.9;10.5;Mie ayam
114;5.3;3;16.4;Mie bakso
86;0.6;3.3;14;Mie basah
353;0.3;0;88;Mie Bendo
102;3;2.1;17.8;Mie celon
468;7.6;20.4;62.4;Mie Goreng 
337;7.9;11.8;50;Mie kering
105;5.9;4.9;9.4;Mie pangsit basah
190;0.2;0.4;46.5;Mie Sagu
902;0;100;0;Minyak Hati Hiu (Eulamia)
902;0;100;0;Minyak Ikan
902;0;100;0;Minyak Kacang Tanah
883;0;99.9;0;Minyak kedelai
870;1;98;0;Minyak Kelapa
902;0;100;0;Minyak Kelapa Sawit
902;0;100;0;Minyak Wijen
884;0;100;0;Minyak Zaitun
345;8.5;2.2;78;Misoa
218;0.8;16;50.2;Misro 
128;8;10;1.3;Moon tahu
33;2.3;0.5;4.7;Mostarda metan -sawi
330;17.8;23.4;12.1;Mujahir acar kuning masakan
478;38.3;33.9;5.1;Naan maran sapi masakan
52;0.4;0.2;13.7;Nanas
58;0.7;0.2;13.3;Nanas palembang segar
165;4.2;0.1;36.7;Nangka biji
106;1.2;0.3;27.6;Nangka masak di pohon
51;2;0.4;11.3;Nangka Muda
180;3;0.3;39.8;Nasi
149;2.8;0.4;32.5;Nasi beras merah
192;3.8;8.8;24.4;Nasi gemuk
276;3.2;3.2;30.2;Nasi Goreng 
190;4.7;7.5;26;Nasi gurih
357;8.8;0.5;79.5;Nasi jagung
207;3.5;5;37.1;Nasi minyak
155;10.3;4.2;19.1;Nasi rames
120;2.4;0.4;26;Nasi tim
253.3;4.3;21;11.7;Nasi Uduk 
196;14.5;8.3;15.9;Nasu likku masakan
600;14;41.7;42;Noga Kacang Tanah 
387;5.3;7.6;74.3;Nopia spesial
9;2.1;6;7.1;Olah-olah
187;13;6;22.6;Oncom
376;14.9;6;65.7;Oncom ampas kacang hijau
363.3;19.3;19.3;40.3;Oncom Goreng 
284;12;14.4;13.6;Oncom Hitam Goreng 
306.7;9;18;27;Oncom Hitam Goreng bertepung 
351;11;5.3;65.9;Oncom kacang hijau + singkong
132;12.7;3.8;13.7;Oncom Kacang Tanah pepes
187;13;6;22.6;Oncom Kedele
368;6.8;32;13.2;Oncom Merah Goreng 
320;7.3;18.7;31;Oncom Merah Goreng bertepung 
40;2;2;3;Oncom Merah Sayur (tumis) 
76;5.2;1.8;10.6;Oncom pepes
288.6;8.3;8.9;44.3;Onde-onde 
115;1.5;6;14;Ongol-ongol 
111;0.3;2.7;21.2;Ongol-ongol sagu
940;36;42;104;Opak Singkong 
117;13.7;5;4.3;Oramu ninahu ndawa olaho masakan
125;10.4;8.6;0.8;Otak
351;0.9;0.9;84.9;Oyek
342;2.3;0.1;83.1;Oyek (dari singkong)
77;3.5;4.6;5.4;Paku hinela wulelenggapaya
494;7.5;36.4;40.1;Pala biji
42;0.3;0.2;10.9;Pala daging
460;28.5;35.2;7.2;Paniki masak santan masakan
133.8;3;1.6;27;Papais 
61;0.2;0.1;14.9;Papeda
87;10.5;2.5;5.5;Parede baleh masakan
29;1.1;0.3;6.6;Paria (Pare)
16;0.8;0.2;3.4;Paria Putih kukus
19;1;0.4;3.6;Paria putih segar
307;4.5;13.3;42.4;Pastel
362;0.5;0.3;86.9;Pati Singkong (tapioka)
23;1.8;0.3;4.5;Pe-Cay
156;28;4;0;Peda Ikan Banjar
75;2.5;2.8;10;Pelecing kangkung
219;19.7;13.6;4.4;Pelepah manuk masakan
162;4.9;3;27.8;Pempek adaan
156;4.2;1.4;31.6;Pempek belida
152;4.5;2.3;28.2;Pempek kapal selam
211;12.3;6.1;26.6;Pempek kelesan
243;5.2;7.3;39.1;Pempek kulit
173;7.2;1.2;33.4;Pempek tenggiri
372;7.8;36.3;3.5;Pencok lele masakan
174;13.1;12.2;2.2;Penyu serapah masakan
19;0.6;0.1;3.9;Pepare ular segar
275;11.6;11.6;30.2;Pepaya lodeh
26;2.1;0.1;4.9;Pepaya Muda
46;0.5;12;12.2;Pepaya segar
76;5.2;1.8;10.6;Pepea oncom ampas tahu
400;0;0;95;Permen 
142;10.4;2;22;Pete Segar
50;3.7;1;9;Peterseli
161;20;0.2;24;Petis Ikan
220;15;0.1;40;Petis Udang
345;23.8;1.4;59.3;Petis udang kering
220;15;0.9;38;Petis udang pasta
514;1;27.8;647;Pilus 
107;15.9;0.6;0.4;Pinda masakan
157;28;4.2;0;Pindang Ikan Banjar
170;31;4.2;0;Pindang Ikan Benggol
153;30;2.8;0;Pindang Ikan Layang
142;27;3;0;Pindang Ikan Selar Kecil
124;9.5;9.6;0;Pindang kenari masakan
99;1.2;0.2;25.8;Pisang Ambon
68;1.3;0.2;17.2;Pisang angleng (pisang ampyang) segar
120;1.1;0.2;26.8;Pisang ayam segar
127;2.1;0.3;31.1;Pisang gapi segar 
220;2.3;2.3;6.3;Pisang Goreng 
115;1.9;0.2;27.9;Pisang goroho segar
117;2;0.3;28.9;Pisang hijau segar
100;1.4;0.5;23.6;Pisang kayu segar
109;0.8;0.5;26.3;Pisang kepok segar
145;1.1;0.3;34.5;Pisang ketip segar
96;1;0.2;22.5;Pisang kidang segar
99;1.3;0.2;25.6;Pisang Lampung
127;1.4;0.2;33.6;Pisang Mas
127;1.4;0.2;31.8;Pisang mas bali
134;1.1;0.5;35.5;Pisang Oli
120;1.2;0.2;31.8;Pisang Raja
118;1.2;0.2;31.1;Pisang Raja Sere (Susu)
98;1.3;1.2;20.5;Pisang rotan segar
625;1;0;8.1;Pisang Siam goreng
113;1.2;0.2;26.7;Pisang talas segar
45;2.2;0.3;10.3;Prey (bawang daun)
33;4.5;0.4;2.8;Pucuk lumai/daun leunca segar
216;2.6;3.1;44.4;Pulut
224;26.2;11.3;4.4;Punai daging goreng
104;1.9;4.1;15.1;Pundut nasi
25;1.5;0.5;3.6;Purundawa
76;4.1;1.1;15.2;Purut segar
76;3.6;0.3;14.6;Putri malu segar
163;2.2;6.5;23.8;Putri selat
200;1;2.4;43.8;Putu Mayang 
136;43;2.4;3;Ragi
76;12.1;2;2.4;Rajungan segar
69;0.9;0.1;18.1;Rambutan
11;0;0;2.7;Rambutan Aceh
76;0.5;0.2;18;Rambutan binjai segar
4;0;0;0.9;Rambutan sinyonya
295;7.3;8.5;47.5;Rarawuan 
394;2.2;8.8;76.6;Rasbi (Beras Ubi)
350;0.9;0.4;85.7;Rasi (Beras Singkong)
60;5.4;2.5;4;Rawon masakan
81;16.2;1.2;0.7;Rebon (udang kecil segar)
299;29.4;3.6;3.2;Rebon kering
81;16.2;1.2;0.7;Rebon udang kecil segar
27;0.6;0.3;5.2;Rebung
320;7.2;4.2;63.3;Rebung laut mentah
451;11.2;20.2;59.7;Rempeyek kacang tolo
497;17;27.6;50.8;Rempeyek kacang uci
193;22.6;7.9;7.8;Rendang sapi masakan
471;4.7;21.8;64.1;Renggi goreng
75;1.6;0.6;15.8;Rimbang segar
335;5.3;3.5;70.5;Risoles 
341;5.5;16.2;43.3;Roti boong
350;7.5;2;75.5;Roti Gambang 
248;8;1.2;50;Roti Putih
249;7.9;1.5;49.7;Roti warna sawo matang
153;11.3;8.4;8;Rujak cingur
41;1.4;0.3;8.1;Rumput laut
536;40.5;41.5;0;Rusa daging dendeng mentah
110;11.5;2;11.7;Rusip
198;24.6;10.7;0.9;RW anjing masakan
449;30.6;25.5;31.9;Saga biji tanpa kulit
338;0.6;0.3;83.1;Sagu Ambon 
355;0.6;1.1;85.6;Sagu aren kering
231;0.6;0.2;56.6;Sagu aren segar
291;0.5;4;63.4;Sagu forno
230;0.6;0.2;56.5;Sagu kasbi segar
452;2.8;14.8;76.8;Sagu Lemak (Kue Sagon)
347;0.9;0.3;85.2;Sagu lempeng
364;0.1;0.2;90.5;Sagu Rendang
362;0.5;0.3;86.9;Sagu singkong kering
354;0.8;8.3;68.9;Sagu sinole
57;0.5;0.1;13.6;Salak bali segar
55;0.4;0.2;12.8;Salak medan segar
87;0.8;0.4;20.1;Salak pondoh segar
281;2.4;0.7;66.1;Sale pisang siam
122;2;10;7.6;Santan (dengan air)
324;4.2;34.3;55.6;Santan (kelapa saja)
324;4.2;34.3;5.6;Santan murni
98;2;0.4;24.5;Saos Tomat
212;18;10.6;59.3;Sapi abon
108;17.6;4.2;0;Sapi babat segar
182;32;6;0;Sapi daging asap
301;55;9;0;Sapi daging dendeng mentah
273;17.5;22;0;Sapi daging gemuk segar
289;16;25;0;Sapi daging kornet
174;19.6;10;0;Sapi daging kurus segar
201;18.8;14;0;Sapi daging lemak sedang segar
448;14.5;42.3;2.3;Sapi daging sosis (Worst)
183;12;14.4;1.4;Sapi daleman segar
98;21.9;1.1;0;Sapi dideh/darah
137;15;8.1;0.9;Sapi ginjal segar
274;16;22;3;Sapi hati sosis (liverworst)
84;10.5;4.6;0.2;Sapi keleponan segar
132;19.7;3.2;6;Sapi liver segar
123;10.4;8.6;0.8;Sapi otak segar
360;57.3;6;19.2;Sapi paru dendeng mentah
268;23.9;12.7;14.5;Sapi paru goreng
126;14;7.2;1.5;Sapi usus segar
281;37.5;0.3;32.1;Sarang Burung
338;21.1;27;1;Sardines dalam kaleng
344;30;20;43;Sari Kedelai bubuk
166;2.3;2.8;32.9;Sarimuka
283;12.1;16.8;20.9;Sate Bandeng
110;15.5;0.5;11.5;Sate Kulit 
179;22.5;3.5;13.3;Sate penyu masakan
274;12.9;18.6;13.6;Sate pusut masakan
126.7;14;7.3;1.3;Sate Usus 
22;2.3;0.3;4;Sawi
9;1;0.1;1.7;Sawi putih / pecai segar
30;1.9;0.5;4.4;Sawi taiwan segar
19;1.3;0.2;2.9;Sawi tanah segar
92;0.5;1.1;22.4;Sawo
64;1;3.1;8;Sawo duren segar
111;0.9;2.3;21.6;Sawo kecik segar
92;0.5;1.1;22.4;Sawo Manila segar
29;0.7;0.6;5;Sayur asem
49;1.7;0.3;9.8;Sayur bunga pepaya
178;2.6;13.9;10.6;Sayur garu
133;7.3;6.6;11.2;Sayur kohu-kohu
64;2.1;0.6;12.5;Sayur lebui
36;2.7;0.7;4.8;Sayur lilin-terubuk
49;3.1;2.5;3.6;Sayur ndusuk
27;1.3;2;1;Sayur sop
67;5.2;2.9;5.1;Sayur umbut kelapa
57;5.4;2.6;3.1;Sayur umbut rotan
15;1.2;0.2;2.9;Selada
17;1.7;0.3;3;Selada Air
19;2.7;0.2;2.9;Selada Air rebus
20;1;0.1;4.6;Seledri
28;0.5;0.2;6.9;Semangka
192.5;4.5;6;30.3;Semur Jengkol 
64;0.6;0.3;14.8;Sente
353;0.7;0.2;84.7;Sente talas segar
88;7.9;1.6;10.6;Sepi masakan
298;8;23.8;48.9;Serbuk Coklat
478;2.5;21.2;69.2;Serimping talas kebumen
213;0;0;55;Setrup sirup
88;3.2;8;0.8;Shabu-shabu
474;11.2;42.5;11.7;Sie reuboh masakan
81;5.1;4.5;5.1;Singkah (rotan muda)
285;1;18;28;Singkong Goreng 
146;1.2;0.3;34.7;Singkong kukus
173;0.5;0.1;42.5;Singkong tape
95.3;4.4;2.2;14.4;Siomay 
65;1;0.3;16.3;Sirsak
213;0;0;55;Sirup
71;7.5;3.6;2.2;Sop buntut masakan
49;5.8;0.5;5.3;Sop daging sapi masakan
68;9;1.9;3.7;Sop kaki sapi masakan
34;5.5;0.8;1.1;Sop kambing masakan
71;7.4;2.6;4.5;Sop konro masakan
12;0.5;0.1;2;Sop Kool
15;0.6;0.1;3.1;Sop Kool dan Wortel
89;7.2;5;3.9;Sop saudara masakan
42;3.9;1.7;2.8;Soto bandung masakan
110;2.9;9.5;3.2;Soto banjar masakan
135;2.5;8.8;11.5;Soto betawi masakan
127.5;2.6;9.4;8.3;Soto dengan Daging
92;11.8;4.3;1.4;Soto jeroan masakan
38;2.6;2.3;1.8;Soto kudus masakan
60;3.5;4.5;1.3;Soto madura masakan
127;5.9;6.6;11;Soto padang masakan
94;3;6.8;5.1;Soto pekalongan masakan
75;3.6;5.2;3.5;Soto pemalang masakan
80;3.2;3.5;9;Soto sukaraja masakan
86;2.3;8.5;0;Soto sulung masakan
117.1;0.4;8.6;9.6;Soto tanpa Daging 
139;7.4;2.1;22.6;Spaghetti
101;1.7;0.6;35.2;Srikaya
75;5.6;0.4;12.2;Sukiyaki masakan
119;1.4;0.2;28.1;Sukun muda segar
126;1.6;0.2;24.5;Sukun tua segar
418;19;9;65.5;Susu asam untuk bayi bubuk
513;24.6;30;36.2;Susu bubuk
64;4.3;2.3;6.6;Susu Kambing
41;3.5;2.5;5;Susu Kedelai
336;8.2;10;55;Susu Kental Manis
138;7;7.9;9.9;Susu Kental Tak Manis
160;6.3;12;7.1;Susu Kerbau
61;3.2;3.5;4.3;Susu Sapi
36;3.5;0.1;5.1;Susu Skim (tak berlemak)
359;35.6;1;52;Susu skim bubuk
36;3.5;0.1;5.1;Susu skim segar
87;5.3;5.2;6.3;Susupan
90;1.5;0.1;21.9;Suweg kukus
69;1;0.1;15.7;Suweg mentah
74;1.4;0.1;17.2;Suweg talas segar
347;0.5;0.9;84.2;Suwir-suwir
68;7.8;4.6;1.6;Tahu
115;9.7;8.5;2.5;Tahu goreng
328;12.6;19.9;24.6;Tahu telur
148;13.8;8.5;4;Takwa
120;1.5;0.3;28.2;Talas bogor kukus
163;2.3;0.5;36.4;Talas pontianak segar
115;1.8;0.5;25.9;Talas viqueque segar
120;1.5;0.3;28.2;Tales kukus
98;1.9;0.2;23.7;Tales mentah
166;10.4;4.9;24.1;Taoco
88;3.2;2.1;14;Taoge goreng
76;9;2.6;6.4;Taoge kacang kedelai segar
28;3;0.8;4;Taoge seduh
34;3.7;1.2;4.3;Taoge segar
104;12.9;6.8;1.2;Taokoa
99;1.7;0.3;22.4;Tapai beras
166;3.8;1;34.4;Tapai ketan hitam
172;3;0.5;37.5;Tapai ketan putih
169;1.4;0.3;40.2;Tapai singkong
358;7.5;4.3;70.4;Tauco cap DAS cake
277;9.1;4.7;49.6;Tauji cap singa
25;4.6;0.4;3;Tebu Terubuk
83;10.4;3.4;2.8;Tedong pallu basa masakan
132;19.5;0.7;67.8;Teh
300;28.3;4.8;53.6;Teh hijau daun kering
299;24.1;3.5;59;Teh melati daun kering
34;2;0.1;7.9;Tekokak
294;8.3;1.7;72.6;Tekokak kering
53;1.9;0.9;9.4;Tekwan
162;12.8;11.5;0.7;Telur Ayam
361;19.3;31.9;0.7;Telur Ayam bagian kuning
50;10.8;0;0.8;Telur Ayam bagian putih
383;15.1;32.9;8.3;Telur Ayam ceplok
251;16.3;19.4;1.4;Telur Ayam dadar
179;13.6;13.3;4.4;Telur ayam kampung 
386;17;35;0.8;Telur bebek bagian kuning segar
54;11;0;0.8;Telur Bebek bagian putih
54;11;0;0.8;Telur bebek bagian putih segar
320;15.1;30.5;0.9;Telur Bebek ceplok
301;20;23.7;0;Telur Bebek dadar
187;10.9;12.4;7.9;Telur bebek tambak segar
195;13.6;13.6;1.4;Telur Bebek telur asin
