calories;proteins;fat;carbohydrate;name
360;4.7;0.1;82.1;Bihun
154;3;4.5;25.5;Bihun Goreng 
381;6.1;3.9;80.3;Bihun goreng instan
354;0.5;0.3;87.4;Bihun Jagung mentah
348;4.7;0.1;82.1;Bihun mentah
562;21.2;49.6;23.6;Biji Jambu Mete
629;21.5;56.6;19.8;Biji Jambu Mete goreng
262;2.3;5.4;51.1;Biji nangka/Biji salak
199;2.1;1.5;44.4;Bika ambon
225.7;3;0.3;52.9;Bika Ambon 
48;0.6;0;4.4;Bir (4% alkohol)
458;6.9;14.4;75.1;Biskuit
42;1.6;0.1;9.6;Bit
51;0.3;0.1;12.1;Biwah segar
43;2.6;0;11.6;Bonggol Pisang
245;3.4;0;66.2;Bonggol Pisang kering
119;4.4;3.5;18.3;Bongkrek (tempe bungkil)
23;1;0.8;7.2;Boros Kunci
22;1;0.3;4.7;Boros Laja (lengkuas)
186;11.7;9.7;13;Botok lamtoro
249;3.4;0.4;58;Brem
400;4;0.7;95.3;Brondong 
141;15.3;3.3;12.6;Brongkos
23;0.8;0.2;5.2;Buah Atung
110;1.4;2.1;21.4;Buah kelenting segar
38;1.5;0.2;7.5;Buah kelor
264;4;1.1;59.6;Buah kom segar
39;0.7;0.2;9.7;Buah Mentega (bisbul)
87;2.6;2.7;13.1;Buah merah
71;1.7;3.1;9.1;Buah Naga Merah segar
56;0.8;1;10.9;Buah Naga Putih segar
55;1.2;0.1;12.2;Buah negri segar
101;1.7;0.6;25.2;Buah Nona
78;0.6;0.3;18.2;Buah rotan segar
113;0.8;0.3;26.8;Buah rukam segar
29;2.1;0.7;3.6;Buah ruruhi segar
67;0.4;0.2;15.9;Buah tuppa segar
365;49.6;4.8;30.8;Buaya daging dendeng mentah
60;1;60;13;Bubur 
167;0.2;4;33;Bubur sagu
156;2.3;0.2;15.6;Bubur tinotuan (Manado)
72;11.4;4.9;1.4;Bulgogi masakan
212;16.9;0.2;47.6;Bulung Jajan
237;14.7;0.2;56;Bulung Sangu
35;2.4;0.2;7.7;Buncis
60;5.1;0.5;8.5;Buncis asam
30;2.2;0.2;6.4;Buncis rebus
45;2.6;0.3;8.1;Bunga pepaya segar
42;2;1.1;6.1;Bunga turi segar
333;29.3;3.3;50;Bungkil Biji Karet
336;37.4;13;30.5;Bungkil Kacang Tanah
368;23;15;40;Bungkil Kelapa
106;4.4;6.3;7.9;Buntil 
141;4.4;10.2;8;Buntil daun talas
125.7;3.3;1.9;23.9;Buras 
281;37.5;0.3;32.1;Burung sarang segar
38;1.6;0.8;6.3;Cabai gembor merah segar
26;0.7;0.3;5.2;Cabai hijau segar
367;15.9;6.2;61.8;Cabai merah kering
36;1;0.3;7.3;Cabai merah segar
120;4.7;2.4;19.9;Cabai rawit segar
20;1.7;0.4;3.4;Caisin segar
155;20.1;3.8;10.2;Cakalang asar (asap papua)
323;4.9;11.5;50.1;Cake tape
102;3.2;6;8.7;Cammetutu
366;11;3.3;73;Cantel mentah
97;5.8;6.3;4.2;Cap cai sayur
24;1.9;0.2;3.7;Carica papaya segar
460;0.8;18.7;17.2;Cassavastick
116;3;0.4;28.6;Cempedak
330;5.2;8.9;57.4;Cengkeh kering
332;11;3.3;73;Centel
462;1.2;20.7;67.7;Ceriping getuk singkong
168;13;9.6;7.5;Chicken teriyaki masakan
143;9.8;1.4;22.8;Chikiniku masakan
311;8;4;48.9;Coklat bubuk
472;2;29.8;62.7;Coklat Manis batang
504;5.5;52.9;29.2;Coklat Pahit batang
381;9;35;53.6;Coklat Susu batang
210;1.6;6.6;35.8;Combro 
241;16;25;0;Corned Beef
96;6.8;5.9;3.8;Coto mangkasara kuda masakan
84;6;6;1.4;Coto mangkasara sapi masakan
145;27;2.3;0;Cue Selar Kuning
12;0.1;0.1;5;Cuka
265;40.6;10.1;0;Cumi-cumi goreng
